sci_name,animal,toxic
Crataegus douglasii,cat,FALSE
Crataegus douglasii,dog,FALSE
Crataegus douglasii,horse,FALSE
Leucothoe davisiae,cat,TRUE
Leucothoe davisiae,dog,TRUE
Leucothoe davisiae,horse,TRUE
Solanum nigrum,cat,TRUE
Solanum nigrum,dog,TRUE
Solanum nigrum,horse,TRUE
Juglans nigra,cat,FALSE
Juglans nigra,dog,TRUE
Juglans nigra,horse,TRUE
Pinus ponderosa,cat,TRUE
Pinus ponderosa,dog,TRUE
Pinus ponderosa,horse,TRUE
Smilax laurifolia,cat,FALSE
Smilax laurifolia,dog,FALSE
Smilax laurifolia,horse,FALSE
Iresine herbstii,cat,FALSE
Iresine herbstii,dog,FALSE
Iresine herbstii,horse,TRUE
Epilobium angustifolium,cat,FALSE
Epilobium angustifolium,dog,FALSE
Epilobium angustifolium,horse,FALSE
Clintonia borealis,cat,FALSE
Clintonia borealis,dog,FALSE
Clintonia borealis,horse,FALSE
Felicia amelloides,cat,FALSE
Felicia amelloides,dog,FALSE
Felicia amelloides,horse,FALSE
Echeveria derenbergii,cat,FALSE
Echeveria derenbergii,dog,FALSE
Echeveria derenbergii,horse,TRUE
Arctotis stoechadifolia,cat,FALSE
Arctotis stoechadifolia,dog,FALSE
Arctotis stoechadifolia,horse,TRUE
Dichelostemma pulchellum,cat,FALSE
Dichelostemma pulchellum,dog,FALSE
Dichelostemma pulchellum,horse,FALSE
Hookera pulchella,cat,FALSE
Hookera pulchella,dog,FALSE
Hookera pulchella,horse,FALSE
Brodiaea pulchella,cat,FALSE
Brodiaea pulchella,dog,FALSE
Brodiaea pulchella,horse,FALSE
Arctotis stoechadifolia,cat,FALSE
Arctotis stoechadifolia,dog,FALSE
Arctotis stoechadifolia,horse,TRUE
Centaurea cyanus,cat,FALSE
Centaurea cyanus,dog,FALSE
Centaurea cyanus,horse,TRUE
Peperomia obtusifolia,cat,FALSE
Peperomia obtusifolia,dog,FALSE
Peperomia obtusifolia,horse,TRUE
Neoregalia spp.,cat,FALSE
Neoregalia spp.,dog,FALSE
Neoregalia spp.,horse,TRUE
